step up uk temperature
721 -1.7217703341534852e-17 7.630912337576566e-23 0.05760048563991973
731 -1.721771836350565e-17 9.023844203099385e-23 0.06811476602581057
741 -1.721773447854055e-17 9.344369480983088e-23 0.07053418992287959
751 -1.7217750741456812e-17 8.820982130396938e-23 0.06658350038041168
761 -1.7217765429615863e-17 7.531687359219266e-23 0.05685150482502466
771 -1.7217779124371367e-17 7.448439944551587e-23 0.05622312760078191
781 -1.7217792410578228e-17 6.94548456843469e-23 0.052426664918740117
791 -1.7217805445825033e-17 6.463115532201134e-23 0.04878559429499649
801 -1.72178178055305e-17 6.514472689371487e-23 0.04917325399585966
811 -1.7217830715517483e-17 6.573689104495557e-23 0.049620237805672984
821 -1.7217843717067e-17 6.337495796012317e-23 0.047837377687291044
831 -1.7217855449064087e-17 6.022343978706274e-23 0.045458514332022
841 -1.7217866366093277e-17 4.2160616827351013e-23 0.031824137097940075
851 -1.7217877131202186e-17 4.104761067190085e-23 0.030984005640021777
861 -1.7217888185851587e-17 4.043594293332041e-23 0.030522299919474947
871 -1.7216791854045572e-17 4.9975234063693735e-23 0.03772285179928573
881 -1.7216804398600914e-17 5.693084778536076e-23 0.0429731640891914
891 -1.7216818495184146e-17 5.941870519585087e-23 0.04485107578189227
901 -1.7216834366117863e-17 7.289271996001768e-23 0.05502167871378146
