#step up uk temperature
580 -8.610142583531636e-18 3.357471808998386e-24 0.005068647054647322
590 -8.610143248081692e-18 2.6637945375013303e-24 0.004021428951541863
600 -8.610143738577115e-18 2.0186325161931695e-24 0.0030474524700983842
610 -8.610144166406373e-18 1.8154653283981832e-24 0.002740738720407885
620 -8.590079867061072e-18 3.626346943367149e-24 0.005474557583585672
630 -8.59016247354498e-18 8.622240562662999e-23 0.13016667516097524
640 -8.590346492361031e-18 2.7021818487659957e-22 0.40793808103351387
650 -8.59170758259154e-18 5.234452039469225e-22 0.790225247504412
660 -8.594213755658767e-18 8.1375940563402e-22 1.2285015181673007
670 -8.596712148899608e-18 1.0964041825196897e-21 1.6551995509053288
680 -8.596928408642196e-18 1.3126391534425538e-21 1.9816412340618266
690 -8.597038342751647e-18 9.948699031160074e-22 1.501917124269335
700 -8.597062767738309e-18 9.3485272071938e-24 0.014113114745159723
710 -8.597078011656096e-18 2.4572111146019658e-23 0.0370955784209234
720 -8.597088044554224e-18 3.2093053317100895e-23 0.048449657785478405
730 -8.597091648535055e-18 9.188624075926475e-24 0.013871715090468714
740 -8.597095551718018e-18 7.704959001667577e-24 0.011631882550826656
750 -8.597100092204802e-18 1.2195188386710112e-23 0.018410610487183142
760 -8.597104682464683e-18 1.648887880931403e-23 0.02489263105270838
770 -8.597109460610979e-18 2.0255829325378547e-23 0.030579452483965198
780 -8.597114737909094e-18 2.5532856641099693e-23 0.038545979228713306
790 -8.597120534622897e-18 3.1329339750980467e-23 0.047296708561262786
800 -8.597126500851396e-18 3.7171113063862135e-23 0.05611581078481603
810 -8.597132114739044e-18 4.262771089296801e-23 0.06435342828044688
820 -8.597136992882081e-18 4.5417121023843006e-23 0.0685644942992799
830 -8.597140905014396e-18 3.300311612948781e-23 0.04982354488147315
840 -8.597143298588077e-18 1.182601954719158e-23 0.017853290379214345
850 -8.597145100585571e-18 7.116820430081403e-24 0.0107439921951712
860 -8.597146786566068e-18 8.382550955708516e-24 0.01265481726405271
870 -8.59714844930362e-18 6.2180109210203985e-24 0.009387093781733694
880 -8.597150111351748e-18 6.394219922413749e-24 0.009653109786252641
890 -8.597151640030666e-18 5.211379848674124e-24 0.007867421269133642
900 -8.597152886846205e-18 4.284585378559409e-24 0.006468275028018431
910 -8.597154019268584e-18 4.363521603671369e-24 0.006587442034528033
920 -8.597155077494858e-18 4.242227787966361e-24 0.006404329390045835
